eggstra_trinket,Eggstra Charm
power_trinket,Power Charm
attraction_trinket,Attraction Charm
luck_trinket,Luck Charm
anchor_trinket,Empowered Anchor Charm
dragonbane_trinket,Dragonbane Charm
extreme_luck_trinket,Extreme Luck Charm
forgotten_trinket,Forgotten Charm
freshness_trinket,Freshness Charm
super_luck_trinket,Super Luck Charm
ultimate_luck_trinket,Ultimate Luck Charm
anti_skele_trinket,Antiskele Charm
mining_trinket,Prospector's Charm
super_staling_trinket,Super Rotten Charm
lucky_rabbit_trinket,Lucky Rabbit Charm
valentine_trinket,Valentine Charm
flame_march_archer_trinket,Warpath Archer Charm
flame_march_cavalry_trinket,Warpath Cavalry Charm
flame_march_general_trinket,Warpath Commander's Charm
flame_march_mage_trinket,Warpath Mage Charm
flame_march_scout_trinket,Warpath Scout Charm
flame_march_warrior_trinket,Warpath Warrior Charm
super_flame_march_archer_trinket,Super Warpath Archer Charm
super_flame_march_cavalry_trinket,Super Warpath Cavalry Charm
super_flame_march_scout_trinket,Super Warpath Scout Charm
super_flame_march_warrior_trinket,Super Warpath Warrior Charm
ultimate_power_trinket,Ultimate Power Charm
dark_chocolate_trinket,Dark Chocolate Charm
artisan_trinket,Artisan Charm
flamebane_trinket,Flamebane Charm
luck_power_trinket,Lucky Power Charm
monger_trinket,Monger Charm
super_flame_march_general_trinket,Super Warpath Commander's Charm
super_power_trinket,Super Power Charm
amplifier_trinket,Amplifier Charm
gold_bonus_trinket,Wealth Charm
rook_crumble_trinket,Rook Crumble Charm
spellbook_trinket,Spellbook Charm
library_boss_trinket,Scholar Charm
library_boss_uncharged_trinket,Uncharged Scholar Charm
drilling_trinket,Mining Charm
dreaded_trinket,Dreaded Charm
spooky_trinket,Spooky Charm
festive_trinket,Winter Charm
chrome_trinket,Chrome Charm
tarnished_trinket,Tarnished Charm
party_trinket,Party Charm
softserve_trinket,Softserve Charm
sticky_trinket,Sticky Charm
wax_trinket,Wax Charm
ancient_trinket,Ancient Charm
growth_trinket,Growth Charm
grub_salt_trinket,Grub Salt Charm
grub_scent_trinket,Grub Scent Charm
grubling_chow_trinket,Grubling Chow Charm
red_sponge_trinket,Red Sponge Charm
sponge_trinket,Sponge Charm
wild_growth_trinket,Wild Growth Charm
yellow_sponge_trinket,Yellow Sponge Charm
ultimate_trinket,Ultimate Charm
double_sponge_trinket,Blue Double Sponge Charm
grubling_bonanza_trinket,Grubling Bonanza Charm
red_double_sponge_trinket,Red Double Sponge Charm
safeguard_trinket,Safeguard Charm
super_salt_trinket,Super Salt Charm
yellow_double_sponge_trinket,Yellow Double Sponge Charm
shamrock_trinket,Shamrock Charm
egg_charge_trinket,Eggscavator Charge Charm
cactus_trinket,Cactus Charm
sheriff_badge_trinket,Sheriff's Badge Charm
book_warmer_trinket,Supply Schedule Charm
train_black_powder_trinket,Black Powder Charm
train_coal_trinket,Dusty Coal Charm
train_magmatic_crystal_trinket,Magmatic Crystal Charm
trouble_area_rails_trinket,Greasy Glob Charm
trouble_area_roof_trinket,Roof Rack Charm
brain_trinket,Brain Charm
ultimate_spooky_trinket,Ultimate Spooky Charm
regal_trinket,Regal Charm
festive_ultimate_luck_trinket,Festive Ultimate Luck Charm
festive_ultimate_power_trinket,Festive Ultimate Power Charm
snowball_trinket,Snowball Charm
soap_trinket,Soap Charm
rift_trinket,Rift Charm
airship_trinket,Airship Charm
super_cactus_trinket,Super Cactus Charm
unstable_trinket,Unstable Charm
water_jet_trinket,Water Jet Charm
rift_power_trinket,Rift Power Charm
rift_vacuum_trinket,Rift Vacuum Charm
extra_spooky_trinket,Super Spooky Charm
calming_trinket,Taunting Charm
cherry_trinket,Cherry Charm
gnarled_trinket,Gnarled Charm
rift_ultimate_luck_trinket,Rift Ultimate Luck Charm
rift_ultimate_power_trinket,Rift Ultimate Power Charm
wicked_gnarly_trinket,Stagnant Charm
cupcake_trinket,Cupcake Charm
rainbow_luck_trinket,Rainbow Luck Charm
eggstra_charge_trinket,Eggstra Charge Charm
diamond_boost_trinket,Diamond Boost Charm
gemstone_boost_trinket,Gemstone Boost Charm
nightshade_boost_trinket,Nightshade Farming Charm
spore_trinket,Spore Charm
super_spore_trinket,Super Spore Charm
ultimate_spore_trinket,Ultimate Spore Charm
baitkeep_trinket,Baitkeep Charm
extreme_ancient_trinket,Extreme Ancient Charm
extreme_attraction_trinket,Extreme Attraction Charm
extreme_power_trinket,Extreme Power Charm
shielding_trinket,Shielding Charm
super_ancient_trinket,Super Ancient Charm
super_attraction_trinket,Super Attraction Charm
ultimate_ancient_trinket,Ultimate Ancient Charm
ultimate_attraction_trinket,Ultimate Attraction Charm
gargantua_trinket,Gargantua Charm
golden_anchor_trinket,Golden Anchor Charm
oxygen_burst_trinket,Oxygen Burst Charm
smart_water_jet_trinket,Smart Water Jet Charm
spiked_anchor_trinket,Spiked Anchor Charm
super_gold_bonus_trinket,Super Wealth Charm
super_rift_vacuum_trinket,Super Rift Vacuum Charm
treasure_trawling_trinket,Treasure Trawling Charm
ultimate_luck_power_trinket,Ultimate Lucky Power Charm
shadow_trinket,Shadow Charm
hydro_trinket,Hydro Charm
super_regal_trinket,Super Regal Charm
extra_sweet_cupcake_trinket,Extra Sweet Cupcake Charm
rift_furoma_energy_trinket,Enerchi Charm
rift_ultimate_luck_power_trinket,Rift Ultimate Lucky Power Charm
extreme_gold_bonus_trinket,Extreme Wealth Charm
lantern_oil_trinket,Lantern Oil Charm
gilded_trinket,Gilded Charm
athlete_torch_trinket,Torch Charm
festive_anchor_trinket,Festive Anchor Charm
lucky_valentine_trinket,Lucky Valentine Charm
sprinkley_sweet_cupcake_trinket,Sprinkly Sweet Cupcake Charm
rift_anti_skele_trinket,Rift Antiskele Charm
rift_luck_trinket,Rift Luck Charm
rift_super_luck_trinket,Rift Super Luck Charm
temporal_fusion_trinket,Timesplit Charm
rift_extreme_luck_trinket,Rift Extreme Luck Charm
rift_gold_bonus_trinket,Rift Wealth Charm
rift_airship_trinket,Rift Airship Charm
rift_super_furoma_energy_trinket,Super Enerchi Charm
ultimate_gold_bonus_trinket,Ultimate Wealth Charm
weak_power_trinket,Small Power Charm
extreme_snowball_trinket,Extreme Snowball Charm
festive_ultimate_luck_power_trinket,Festive Ultimate Lucky Power Charm
gift_wrapped_trinket,Gift Wrapped Charm
let_it_snow_trinket,Let It Snow Charm
super_snowball_trinket,Super Snowball Charm
ultimate_snowball_trinket,Ultimate Snowball Charm
2018_trinket,2018 Charm
extreme_regal_trinket,Extreme Regal Charm
restitched_trinket,Reality Restitch Charm
rewind_trinket,Hunter's Horn Rewind Charm
ember_trinket,Ember Charm
remote_pumping_trinket,Queso Pump Charm
super_dragonbane_trinket,Super Dragonbane Charm
pointy_trinket,Pointy Charm
2019_trinket,2019 Charm
snow_golem_trinket,Golem Guardian Charm
birthday_factory_trinket,Factory Repair Charm
extrme_dragonbane_trinket,Extreme Dragonbane Charm
stalemate_trinket,Stalemate Charm
super_wax_trinket,Super Wax Charm
rift_extreme_power_trinket,Rift Extreme Power Charm
rift_super_power_trinket,Rift Super Power Charm
rift_spooky_trinket,Rift Spooky Charm
2020_trinket,2020 Charm
rift_2020_trinket,Rift 2020 Charm
rift_snowball_trinket,Rift Snowball Charm
rift_super_snowball_trinket,Rift Super Snowball Charm
extreme_party_trinket,Extreme Party Charm
super_party_trinket,Super Party Charm
